Crop,Season,Production target for 2016-17
Rice,Kharif,93
Rice,Rabi,15.5
Total,Total,108.5
Wheat,Rabi,96.5
Jowar,Kharif,3
Jowar,Rabi,3
Total,Total,6
Bajra,Kharif,9.5
Maize,Kharif,17.5
Maize,Rabi,7
Total,Total,24.5
Ragi,Kharif,2
Small Millets,Kharif,0.5
Barley,Rabi,1.85
Total Coarse Cereals,Kharif,32.5
Total Coarse Cereals,Rabi,11.85
Total,Total,44.35
Total Pulses,Kharif,7.25
Total Pulses,Rabi,13.5
Total,Total,20.75
Total Foodgrains,Kharif,132.75
Total Foodgrains,Rabi,137.35
Total,Total,270.1
